
Running time
	10	20	25	30	35	40	50	60	70	80	
1	00:02:53.1828345	00:02:07.9164485	00:02:01.4310442	00:01:58.5114117	00:01:53.4440849	00:01:50.7388957	00:01:48.0463015	00:01:46.5228536	00:01:50.3292945	00:01:48.8491891	
2	00:02:03.7426529	00:01:12.7696565	00:01:05.7771482	00:01:07.4559344	00:00:57.7253734	00:00:56.4406868	00:00:54.8433718	00:00:53.7804107	00:00:55.5313071	00:00:54.6198869	
4	00:01:30.9719120	00:00:42.9983169	00:00:37.1155623	00:00:43.0181079	00:00:30.9430726	00:00:29.6246245	00:00:28.1186595	00:00:27.4030663	00:00:28.0880885	00:00:27.5266533	
6	00:01:33.3614748	00:00:33.0791870	00:00:27.4725195	00:00:31.5347002	00:00:21.6672104	00:00:20.6164887	00:00:19.1803636	00:00:18.5926880	00:00:18.9770104	00:00:18.5001772	
8	00:01:40.7152126	00:00:28.2623997	00:00:22.8420951	00:00:27.9969384	00:00:17.0449189	00:00:16.1168120	00:00:14.9756242	00:00:14.2705964	00:00:14.3705181	00:00:14.0632023	

Number of times a thread has waited for work
	10	20	25	30	35	40	50	60	70	80	
1	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	

Number of times a thread has completed a computational kernel
	10	20	25	30	35	40	50	60	70	80	
1	62500	15625	10000	7056	5184	3969	2500	1764	1296	1024	
2	62500	15625	10000	7056	5184	3969	2500	1764	1296	1024	
4	62500	15625	10000	7056	5184	3969	2500	1764	1296	1024	
6	62500	15625	10000	7056	5184	3969	2500	1764	1296	1024	
8	62500	15625	10000	7056	5184	3969	2500	1764	1296	1024	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	20	25	30	35	40	50	60	70	80	
1	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	20	25	30	35	40	50	60	70	80	
1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
