Running time;;;;;;;;;;Speed ups;;;;;;;
Single threaded non tiled;00:28.844;;;;;;;;;;;;;;;;
Single threaded tiled;00:35.905;00:29.616;00:29.621;00:29.847;00:30.999;00:31.591;00:34.236;00:44.061;;;;;;;;;
Threads \ Tile size;10;20;25;30;35;40;50;80;;10;20;25;30;35;40;50;80
1;00:43.110;00:32.194;00:32.596;00:31.830;00:33.425;00:34.467;00:36.565;00:46.309;1;0.832869404;0.919922967;0.908731133;0.937700283;0.927419596;0.916557867;0.93630521;0.95145652
2;00:29.582;00:19.168;00:18.266;00:17.044;00:19.159;00:17.950;00:19.175;00:24.088;2;1.213744845;1.545075125;1.621646775;1.751173433;1.617986325;1.75994429;1.785449804;1.82916805
4;00:22.840;00:12.315;00:11.244;00:09.662;00:11.935;00:10.263;00:10.772;00:17.414;4;1.572022767;2.404872107;2.634382782;3.089111985;2.59731881;3.078144792;3.178239881;2.530205582
6;00:21.767;00:10.233;00:09.201;00:07.499;00:08.749;00:08.139;00:09.289;00:16.432;6;1.649515321;2.894165934;3.219323987;3.980130684;3.543147788;3.881435066;3.685649693;2.681414314
8;00:22.911;00:09.640;00:07.896;00:06.921;00:09.047;00:07.709;00:09.059;00:16.542;8;1.56715115;3.07219917;3.75139311;4.312527091;3.426439704;4.097937476;3.77922508;2.663583605
;;;;;;;;;;;;;;;;;
Number of times a thread has waited for work;;;;;;;;;;;;;;;;;
;10;20;25;30;35;40;50;80;;;;;;;;;
1;0;0;0;0;0;0;0;0;;;;;;;;;
2;952;1191;1069;929;704;674;508;730;;;;;;;;;
4;3279;6119;5557;4740;4120;4870;6067;10662;;;;;;;;;
6;4268;11144;11403;12461;15082;18167;25436;25093;;;;;;;;;
8;5244;13994;18238;25045;33106;38868;43552;38864;;;;;;;;;
;;;;;;;;;;;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;;;;;;;;;;;
;10;20;25;30;35;40;50;80;;;;;;;;;
1;1651403;252168;145990;92237;65228;45475;28427;11678;;;;;;;;;
2;1651403;252168;145990;92237;65228;45475;28427;11678;;;;;;;;;
4;1651403;252168;145990;92237;65228;45475;28427;11678;;;;;;;;;
6;1651403;252168;145990;92237;65228;45475;28427;11678;;;;;;;;;
8;1651403;252168;145990;92237;65228;45475;28427;11678;;;;;;;;;
;;;;;;;;;;;;;;;;;
Number of times a thread has received work from a secondary producer (in pipelined mode);;;;;;;;;;;;;;;;;
;10;20;25;30;35;40;50;80;;;;;;;;;
1;0;0;0;0;0;0;0;0;;;;;;;;;
2;701;518;483;485;433;446;438;365;;;;;;;;;
4;2521;2923;2693;2666;2728;2509;2191;1255;;;;;;;;;
6;4724;6209;6375;6060;5625;4766;3543;1393;;;;;;;;;
8;6321;11757;11747;10230;8346;6608;3988;1423;;;;;;;;;
;;;;;;;;;;;;;;;;;
Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed;;;;;;;;;;;;;;;;;
;10;20;25;30;35;40;50;80;;;;;;;;;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;
6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;
;;;;;;;;;;;;;;;;;
Running time;;;;;;;;;;;;;;;;;
;40;;;;;;;;;;;;;;;;
1;00:33.773;;;;;;;;;;;;;;;;
2;00:17.606;;;;;;;;;;;;;;;;
4;00:09.735;;;;;;;;;;;;;;;;
6;00:07.647;;;;;;;;;;;;;;;;
8;00:07.278;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Number of times a thread has waited for work;;;;;;;;;;;;;;;;;
;00:00.0;;;;;;;;;;;;;;;;
1;0;;;;;;;;;;;;;;;;
2;678;;;;;;;;;;;;;;;;
4;4855;;;;;;;;;;;;;;;;
6;18245;;;;;;;;;;;;;;;;
8;37886;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;;;;;;;;;;;
;40;;;;;;;;;;;;;;;;
1;45475;;;;;;;;;;;;;;;;
2;45475;;;;;;;;;;;;;;;;
4;45475;;;;;;;;;;;;;;;;
6;45475;;;;;;;;;;;;;;;;
8;45475;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Number of times a thread has received work from a secondary producer (in pipelined mode);;;;;;;;;;;;;;;;;
;40;;;;;;;;;;;;;;;;
1;0;;;;;;;;;;;;;;;;
2;451;;;;;;;;;;;;;;;;
4;2582;;;;;;;;;;;;;;;;
6;4800;;;;;;;;;;;;;;;;
8;6578;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed;;;;;;;;;;;;;;;;;
;40;;;;;;;;;;;;;;;;
1;0,0;;;;;;;;;;;;;;;;
2;0,0;;;;;;;;;;;;;;;;
4;0,0;;;;;;;;;;;;;;;;
6;0,0;;;;;;;;;;;;;;;;
8;0,0;;;;;;;;;;;;;;;;
4;0,0;;;;;;;;;;;;;;;;
6;0,0;;;;;;;;;;;;;;;;
8;0,0;;;;;;;;;;;;;;;;
