Single threaded tiled;01:03.626;01:02.792;01:02.916;01:04.203;01:05.476;01:09.813;01:26.184;;;;;;;;
Threads \ Tile size;20;25;30;35;40;50;80;;20;25;30;35;40;50;80
1;01:07.561;01:07.233;01:06.728;01:09.216;01:14.863;01:14.712;01:30.817;1;0.941756339;0.933946128;0.942872557;0.927574549;0.874610956;0.934428204;0.948985322
2;00:37.207;00:37.982;00:56.468;00:41.493;00:39.052;00:40.773;00:46.721;2;1.71005456;1.653204149;1.114188567;1.547321235;1.67663628;1.712236039;1.844652298
4;00:21.679;00:22.260;00:48.820;00:27.951;00:22.609;00:21.634;00:28.741;4;2.934913972;2.820844564;1.288734125;2.296984008;2.896014861;3.22700379;2.998643053
6;00:16.827;00:17.346;00:32.664;00:21.725;00:17.176;00:16.800;00:25.902;6;3.781185;3.619970022;1.926157237;2.955258918;3.812063344;4.155535714;3.327310632
8;00:15.173;00:15.534;00:54.706;00:19.739;00:15.121;00:15.186;00:25.062;8;4.193369802;4.042229947;1.150074946;3.252596383;4.330136896;4.597194785;3.438831697
;;;;;;;;;;;;;;;
Number of times a thread has waited for work;;;;;;;;;;;;;;;
;20;25;30;35;40;50;80;;;;;;;;
1;0;0;0;0;0;0;0;;;;;;;;
2;1371;1346;1177;1076;942;697;523;;;;;;;;
4;8160;7449;6415;5903;5135;4101;9740;;;;;;;;
6;13601;14334;14348;13966;13977;18335;28376;;;;;;;;
8;15668;20494;23313;27489;32644;48216;46873;;;;;;;;
;;;;;;;;;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;;;;;;;;;
;20;25;30;35;40;50;80;;;;;;;;
1;531437;296253;186817;124708;89590;53670;18683;;;;;;;;
2;531437;296253;186817;124708;89590;53670;18683;;;;;;;;
4;531437;296253;186817;124708;89590;53670;18683;;;;;;;;
6;531437;296253;186817;124708;89590;53670;18683;;;;;;;;
8;531437;296253;186817;124708;89590;53670;18683;;;;;;;;
;;;;;;;;;;;;;;;
Number of times a thread has received work from a secondary producer (in pipelined mode);;;;;;;;;;;;;;;
;20;25;30;35;40;50;80;;;;;;;;
1;0;0;0;0;0;0;0;;;;;;;;
2;526;475;491;429;428;418;432;;;;;;;;
4;2946;2683;2746;2726;2728;2645;1787;;;;;;;;
6;6342;6455;6490;6237;6213;5597;2395;;;;;;;;
8;12295;11996;11881;11619;10730;8024;2591;;;;;;;;
;;;;;;;;;;;;;;;
Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed;;;;;;;;;;;;;;;
;20;25;30;35;40;50;80;;;;;;;;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
"8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	";;;;;;;;;;;;;;;
