MMIMM, 2500x2500 @ DIKU, set 1.9;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Running time;;;;;;;;;;;;;;Speedup;;;;;;;;;;
Single threaded tiled;04:31.700;03:06.800;02:46.100;02:41.700;02:40.300;02:40.900;02:48.400;02:50.200;02:52.000;02:53.000;03:04.600;;;;;;;;;;;;;
Threads \ Tile size;10;20;30;40;50;60;70;80;90;100;150;;;10;20;30;40;50;60;70;80;90;100;150
1;03:48.649;02:19.881;02:05.970;02:02.404;02:00.583;02:00.544;02:06.090;02:07.014;02:08.584;02:09.520;02:17.737;;1;1.188284226;1.335420822;1.318567913;1.32103526;1.329374787;1.33478232;1.335553969;1.340009763;1.337646986;1.33570105;1.340235376
2;02:39.952;01:21.536;01:06.562;01:02.993;01:00.773;01:00.642;01:03.222;01:03.723;01:04.440;01:04.840;01:09.074;;2;1.69863459;2.291012559;2.495417806;2.566951884;2.637684498;2.653276607;2.663629749;2.670935141;2.669149597;2.668106107;2.672496164
4;02:01.768;00:48.250;00:36.084;00:36.453;00:31.903;00:31.149;00:32.054;00:32.120;00:32.417;00:32.592;00:34.880;;4;2.231292294;3.871502591;4.60314821;4.435848901;5.024605836;5.165494879;5.253634492;5.298879203;5.305858037;5.308051055;5.292431193
6;01:47.283;00:37.039;00:25.863;00:25.837;00:21.589;00:21.249;00:21.651;00:21.665;00:21.841;00:21.935;00:23.423;;6;2.532554086;5.043332703;6.42230213;6.25846654;7.425077586;7.572121041;7.777931735;7.855988922;7.875097294;7.886938682;7.881142467
8;01:49.384;00:31.868;00:20.914;00:21.623;00:17.064;00:16.295;00:16.500;00:16.457;00:16.545;00:16.748;00:17.965;;8;2.483909895;5.861679428;7.942048389;7.478148268;9.394045945;9.874194538;10.20606061;10.34210366;10.39589;10.32959159;10.27553576
;;;;;;;;;;;;;;;;;;;;;;;;
Number of times a thread has waited for work;;;;;;;;;;;;;Speedup relative to 1 thread;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150;;;10;20;30;40;50;60;70;80;90;100;150
1;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1
2;3;4;4;4;4;4;4;5;4;3;4;;2;1.429485096;1.715573489;1.892521258;1.943136539;1.984154147;1.987797236;1.994400683;1.993220658;1.99540658;1.997532387;1.99404986
4;9;24;55;37;25;39;41;140;36;24;49;;4;1.877742921;2.899088083;3.491020951;3.357858064;3.779675893;3.869915567;3.933674424;3.954358655;3.966560755;3.973981345;3.948881881
6;18;57;180;172;96;187;198;344;213;108;96;;6;2.131269633;3.776586841;4.870664656;4.737546929;5.585390708;5.672925785;5.82374948;5.862635587;5.887276224;5.904718486;5.880416684
8;27;100;375;425;203;526;537;611;180;443;291;;8;2.090333138;4.389387473;6.023238022;5.660824122;7.066514299;7.397606628;7.641818182;7.717931579;7.77177395;7.733460712;7.66696354
;;;;;;;;;;;;;;;;;;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;;;;;;;;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150;;;;;;;;;;;;;
1;15687500;1968750;599760;254016;127500;75852;47952;33792;22736;16250;5202;;;;;;;;;;;;;
2;15687500;1968750;599760;254016;127500;75852;47952;33792;22736;16250;5202;;;;;;;;;;;;;
4;15687500;1968750;599760;254016;127500;75852;47952;33792;22736;16250;5202;;;;;;;;;;;;;
6;15687500;1968750;599760;254016;127500;75852;47952;33792;22736;16250;5202;;;;;;;;;;;;;
8;15687500;1968750;599760;254016;127500;75852;47952;33792;22736;16250;5202;;;;;;;;;;;;;
