Matrix size: 2500x2500 @ DIKU, Set 1.9;;;;;;;;;;;;;;;;;;;;;;;;
Plus Multiply;;;;;;;;;;;;;;;;;;;;;;;;
Running time;;;;;;;;;;;;;;;;;;;;;;;;
Single threaded tiled;02:56.276;02:06.550;01:54.113;01:49.166;01:47.437;01:45.900;01:50.199;01:48.668;01:49.113;01:47.722;01:46.783; ;;;;;;;;;;;;
Threads \ Tile size;10;20;30;40;50;60;70;80;90;100;150;;;10;20;30;40;50;60;70;80;90;100;150
;02:56.258;02:05.783;01:55.586;01:50.872;01:48.585;01:46.801;01:50.434;01:48.892;01:49.085;01:47.794;01:46.643;;1;1.000102123;1.006097803;0.987256242;0.984612887;0.989427637;0.991563749;0.997872032;0.997942916;1.000256681;0.999332059;1.001312791
;02:04.356;01:12.673;01:00.871;00:56.793;00:55.448;00:54.213;00:55.721;00:54.749;00:54.885;00:54.249;00:53.628;;2;1.417511017;1.741361991;1.874669383;1.922173507;1.937617227;1.95340601;1.977692432;1.984839906;1.988029516;1.985695589;1.991179981
;01:31.534;00:43.715;00:33.269;00:31.121;00:28.851;00:27.786;00:28.211;00:27.696;00:27.615;00:27.297;00:26.898;;4;1.925798064;2.894887338;3.430009919;3.507792166;3.723857059;3.811271864;3.906242246;3.923599076;3.951222162;3.946294465;3.969923414
;01:33.945;00:33.725;00:23.748;00:23.333;00:19.766;00:18.895;00:19.068;00:18.579;00:18.607;00:18.354;00:18.053;;6;1.876374474;3.752409192;4.80516254;4.678609694;5.435444703;5.604657317;5.779263688;5.848969266;5.864083409;5.869129345;5.914972581
;01:41.400;00:28.703;00:19.306;00:17.179;00:15.314;00:14.527;00:14.507;00:14.085;00:14.029;00:13.969;00:13.624;;8;1.738422091;4.4089468;5.910753134;6.354619012;7.015606634;7.289874028;7.596263873;7.715157969;7.777674816;7.711504045;7.837859659
;;;;;;;;;;;;;;;;;;;;;;;;
Number of times a thread has waited for work;;;;;;;;;;;;;;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150;;;;;;;;;;;;;
1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
6;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
8;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;;;;;;;;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150;;;;;;;;;;;;;
1;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289;;;;;;;;;;;;;
2;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289;;;;;;;;;;;;;
4;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289;;;;;;;;;;;;;
6;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289;;;;;;;;;;;;;
8;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289;;;;;;;;;;;;;
