
Running time
	10	20	30	40	50	60	70	80	90	100	150	
1	00:02:27.7564684	00:01:34.4703192	00:01:24.5875942	00:01:21.7499600	00:01:21.4602277	00:01:21.3805172	00:01:25.8350516	00:01:26.4320062	00:01:28.1144832	00:01:28.8440274	00:01:36.3664349	
2	00:01:45.5757248	00:00:54.9312864	00:00:44.9203086	00:00:43.2190738	00:00:41.6833120	00:00:41.1620521	00:00:43.1258883	00:00:43.3693098	00:00:44.2365940	00:00:44.5123381	00:00:48.2756252	
4	00:01:20.9093899	00:00:32.0432099	00:00:24.3210740	00:00:23.1991285	00:00:21.5249531	00:00:21.0287753	00:00:21.8239583	00:00:21.9075973	00:00:22.2619399	00:00:22.4228599	00:00:24.4391447	
6	00:01:11.8119978	00:00:24.6359092	00:00:17.4577538	00:00:16.8222250	00:00:14.7830294	00:00:14.2873218	00:00:14.7759024	00:00:14.7979198	00:00:15.0212431	00:00:15.1236268	00:00:16.7498157	
8	00:01:12.0803794	00:00:21.1399321	00:00:13.9298971	00:00:13.6333222	00:00:11.4932632	00:00:10.9790328	00:00:11.2933033	00:00:11.1941386	00:00:11.3843956	00:00:11.5480441	00:00:12.7883342	

Number of times a thread has waited for work
	10	20	30	40	50	60	70	80	90	100	150	
1	0	0	0	0	0	0	0	0	0	0	0	
2	3	3	4	4	3	4	4	5	4	3	4	
4	11	27	50	40	28	39	38	121	33	27	36	
6	26	58	205	164	93	196	172	343	153	94	165	
8	19	132	156	265	194	279	538	289	187	301	306	

Number of times a thread has completed a computational kernel
	10	20	30	40	50	60	70	80	90	100	150	
1	10479250	1317750	402220	170688	85850	51170	32412	22880	15428	11050	3570	
2	10479250	1317750	402220	170688	85850	51170	32412	22880	15428	11050	3570	
4	10479250	1317750	402220	170688	85850	51170	32412	22880	15428	11050	3570	
6	10479250	1317750	402220	170688	85850	51170	32412	22880	15428	11050	3570	
8	10479250	1317750	402220	170688	85850	51170	32412	22880	15428	11050	3570	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	20	30	40	50	60	70	80	90	100	150	
1	0	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	20	30	40	50	60	70	80	90	100	150	
1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
