
Running time
	10	20	30	40	50	60	70	80	90	100	150	
1	00:00:43.1493532	00:00:32.8024036	00:00:32.0812118	00:00:39.2105253	00:00:36.8997835	00:00:39.3270161	00:00:41.9804804	00:00:46.1532955	00:00:49.6276964	00:00:51.4217616	00:01:09.3825080	
2	00:00:29.5345394	00:00:19.1760432	00:00:17.5713123	00:00:22.9438582	00:00:19.5137007	00:00:20.6460140	00:00:22.1366481	00:00:24.0173324	00:00:25.5520077	00:00:26.5919025	00:00:37.4245146	
4	00:00:22.8675677	00:00:12.4516130	00:00:10.2318696	00:00:11.2957141	00:00:10.7738689	00:00:11.9804468	00:00:13.3056054	00:00:14.9341361	00:00:16.5853922	00:00:17.8970168	00:00:25.8799671	
6	00:00:21.4378740	00:00:10.2505568	00:00:08.0467788	00:00:14.8556665	00:00:09.2711731	00:00:10.1352437	00:00:11.4973253	00:00:13.1558522	00:00:15.1461328	00:00:16.9237992	00:00:25.0039751	
8	00:00:22.5858384	00:00:09.6160382	00:00:07.3021728	00:00:14.5465913	00:00:08.6670749	00:00:09.6911320	00:00:11.4371522	00:00:13.0345664	00:00:14.9801450	00:00:16.8449839	00:00:25.6172407	

Number of times a thread has waited for work
	10	20	30	40	50	60	70	80	90	100	150	
1	0	0	0	0	0	0	0	0	0	0	0	
2	1203	1427	1136	889	797	765	730	621	516	469	284	
4	3787	6997	5753	5202	5337	6223	6742	6861	6306	5809	3396	
6	5220	12718	14418	17356	20174	19158	18496	17982	17074	15778	8630	
8	6254	15746	26773	36386	35876	33022	30537	29687	27497	24596	14166	

Number of times a thread has completed a computational kernel
	10	20	30	40	50	60	70	80	90	100	150	
1	1651403	252168	92237	45475	28427	19596	13538	11678	9444	7448	4383	
2	1651403	252168	92237	45475	28427	19596	13538	11678	9444	7448	4383	
4	1651403	252168	92237	45475	28427	19596	13538	11678	9444	7448	4383	
6	1651403	252168	92237	45475	28427	19596	13538	11678	9444	7448	4383	
8	1651403	252168	92237	45475	28427	19596	13538	11678	9444	7448	4383	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	20	30	40	50	60	70	80	90	100	150	
1	0	0	0	0	0	0	0	0	0	0	0	
2	741	649	667	772	808	903	1051	1078	1260	1279	905	
4	2471	3022	3150	3499	3580	3280	2620	2158	2239	2075	991	
6	4413	6064	6471	6671	5957	4411	3065	2641	1947	1356	983	
8	5763	11313	11641	10112	7694	5292	3340	2749	1983	1302	998	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	20	30	40	50	60	70	80	90	100	150	
1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
