
Running time
	10	15	20	25	30	40	50	60	
1	00:00:16.1851144	00:00:12.8139779	00:00:11.7168762	00:00:11.6706936	00:00:11.3868934	00:00:11.2665844	00:00:11.5179052	00:00:11.6356617	
2	00:00:09.1384242	00:00:06.9058014	00:00:06.1580143	00:00:06.0873235	00:00:05.8718169	00:00:05.7133214	00:00:05.8254869	00:00:05.8728874	
4	00:00:10.0588394	00:00:03.7342113	00:00:03.2983723	00:00:03.2593512	00:00:03.0802242	00:00:02.9337582	00:00:02.9802827	00:00:02.9915594	

Number of times a thread has waited for work
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	198	129	97	77	63	47	38	28	
4	506	443	479	376	318	256	142	123	

Number of times a thread has completed a computational kernel
	10	15	20	25	30	40	50	60	
1	5373400	1622070	676700	347760	205020	85850	44280	27370	
2	5373400	1622070	676700	347760	205020	85850	44280	27370	
4	5373400	1622070	676700	347760	205020	42780	33150	20504	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	15	20	25	30	40	50	60	
1	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
2	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
4	1/1	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
