
Running time
	10	15	20	25	30	40	50	60	
1	00:00:10.3499328	00:00:07.4691302	00:00:06.5535085	00:00:06.3506149	00:00:06.1116595	00:00:05.7555092	00:00:05.8823939	00:00:05.9617933	
2	00:00:06.9468704	00:00:04.4756935	00:00:03.7114224	00:00:03.5154429	00:00:03.2766330	00:00:02.9348228	00:00:02.9849563	00:00:03.0200037	
4	00:00:04.7881878	00:00:02.8514899	00:00:02.2261387	00:00:02.0773483	00:00:01.8450858	00:00:01.5332385	00:00:01.5522370	00:00:01.5645996	

Number of times a thread has waited for work
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	2	0	2	2	2	2	3	4	
4	4	7	14	23	26	17	20	22	

Number of times a thread has completed a computational kernel
	10	15	20	25	30	40	50	60	
1	2686700	811035	338350	173880	102510	42925	22140	13685	
2	2686700	811035	338350	173880	102510	42925	22140	13685	
4	2686700	811035	338350	173880	102510	42925	22140	13685	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	15	20	25	30	40	50	60	
1	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
2	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
4	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
