
Running time
	10	15	20	25	30	40	50	60	
1	00:00:23.6474552	00:00:18.7175701	00:00:17.1234736	00:00:16.8930563	00:00:16.6462989	00:00:16.6132358	00:00:16.8142201	00:00:17.0295312	
2	00:00:13.5903313	00:00:10.0777800	00:00:09.0864264	00:00:08.8124063	00:00:08.5699346	00:00:08.4362362	00:00:08.4983975	00:00:08.5952132	
4	00:00:07.7415275	00:00:10.4819781	00:00:04.8482770	00:00:04.7194613	00:00:04.4858284	00:00:04.3490382	00:00:04.3627141	00:00:04.3955554	

Number of times a thread has waited for work
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	197	128	97	77	63	47	37	27	
4	692	443	489	400	165	240	200	105	

Number of times a thread has completed a computational kernel
	10	15	20	25	30	40	50	60	
1	8040000	2424060	1010000	518400	305252	127500	65600	40460	
2	8040000	2424060	1010000	518400	305252	127500	65600	40460	
4	8040000	2424060	1010000	518400	305252	127500	65600	30285	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	15	20	25	30	40	50	60	
1	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
2	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
4	0/0	1/1	0/0	0/0	0/0	0/0	0/0	0/0	
