
Running time
	10	15	20	25	30	40	50	60	
1	00:00:18.7033090	00:00:16.5539181	00:00:15.6952023	00:00:15.6137329	00:00:15.3694042	00:00:15.3283922	00:00:15.2890185	00:00:15.2617903	
2	00:00:09.7996171	00:00:08.5362645	00:00:08.0863166	00:00:07.9766450	00:00:07.8116532	00:00:07.7687735	00:00:07.7489244	00:00:07.6842331	
4	00:00:05.2891715	00:00:04.4905644	00:00:04.2099441	00:00:04.1553124	00:00:04.0227051	00:00:04.0076221	00:00:03.9755914	00:00:03.9026738	

Number of times a thread has waited for work
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	

Number of times a thread has completed a computational kernel
	10	15	20	25	30	40	50	60	
1	40000	17956	10000	6400	4489	2500	1600	1156	
2	40000	17956	10000	6400	4489	2500	1600	1156	
4	40000	17956	10000	6400	4489	2500	1600	1156	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	15	20	25	30	40	50	60	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	15	20	25	30	40	50	60	
1	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
2	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
4	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
